STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,FIPS
01,000,Alabama,Alabama,4903185,01000
01,001,Alabama,Autauga County,55869,01001
01,003,Alabama,Baldwin County,223234,01003
01,005,Alabama,Barbour County,24686,01005
01,007,Alabama,Bibb County,22394,01007
01,009,Alabama,Blount County,57826,01009
01,011,Alabama,Bullock County,10101,01011
01,013,Alabama,Butler County,19448,01013
01,015,Alabama,Calhoun County,113605,01015
01,017,Alabama,Chambers County,33254,01017
01,019,Alabama,Cherokee County,26196,01019
01,021,Alabama,Chilton County,44428,01021
01,023,Alabama,Choctaw County,12589,01023
01,025,Alabama,Clarke County,23622,01025
01,027,Alabama,Clay County,13235,01027
01,029,Alabama,Cleburne County,14910,01029
01,031,Alabama,Coffee County,52342,01031
01,033,Alabama,Colbert County,55241,01033
01,035,Alabama,Conecuh County,12067,01035
01,037,Alabama,Coosa County,10663,01037
01,039,Alabama,Covington County,37049,01039
01,041,Alabama,Crenshaw County,13772,01041
01,043,Alabama,Cullman County,83768,01043
01,045,Alabama,Dale County,49172,01045
01,047,Alabama,Dallas County,37196,01047
01,049,Alabama,DeKalb County,71513,01049
01,051,Alabama,Elmore County,81209,01051
01,053,Alabama,Escambia County,36633,01053
01,055,Alabama,Etowah County,102268,01055
01,057,Alabama,Fayette County,16302,01057
01,059,Alabama,Franklin County,31362,01059
01,061,Alabama,Geneva County,26271,01061
01,063,Alabama,Greene County,8111,01063
01,065,Alabama,Hale County,14651,01065
01,067,Alabama,Henry County,17205,01067
01,069,Alabama,Houston County,105882,01069
01,071,Alabama,Jackson County,51626,01071
01,073,Alabama,Jefferson County,658573,01073
01,075,Alabama,Lamar County,13805,01075
01,077,Alabama,Lauderdale County,92729,01077
01,079,Alabama,Lawrence County,32924,01079
01,081,Alabama,Lee County,164542,01081
01,083,Alabama,Limestone County,98915,01083
01,085,Alabama,Lowndes County,9726,01085
01,087,Alabama,Macon County,18068,01087
01,089,Alabama,Madison County,372909,01089
01,091,Alabama,Marengo County,18863,01091
01,093,Alabama,Marion County,29709,01093
01,095,Alabama,Marshall County,96774,01095
01,097,Alabama,Mobile County,413210,01097
01,099,Alabama,Monroe County,20733,01099
01,101,Alabama,Montgomery County,226486,01101
01,103,Alabama,Morgan County,119679,01103
01,105,Alabama,Perry County,8923,01105
01,107,Alabama,Pickens County,19930,01107
01,109,Alabama,Pike County,33114,01109
01,111,Alabama,Randolph County,22722,01111
01,113,Alabama,Russell County,57961,01113
01,115,Alabama,St. Clair County,89512,01115
